Latitude,Longitude,Depth,Day,Month,Year,Reference,Method,Acanthoica acanthifera,Acanthoica acanthos,Acanthoica quattrospina,Anoplosolenia brasiliensis,Anoplosolenia braziliensis,Anthosphaera SP.,Braarudosphaera bigelowii,Calcidiscus leptoporus (MURRA,Calcioconus vitreus,Calciosolenia murrayi,Calciosolenia murrayi ,Calyptrosphaera sp.,Caneosphaera molischii,Caneosphaera molischii and similar,Coccolithophorida ,Coccolithophoridae ,Coccolithophorids <10 um,Coccolithophorids <10 um (5 - 10),Coccolithus huxleyi,Coccolithus pelagicus,Coronosphaera sp.,Cricosphaera carterae,Crystallolithus hyalina,Cyclococcolithus fragilis,Discosphaera  tubifer,Emiliania huxleyi,Emiliania huxleyi ,Gephyracapsa sp.,Halopappus adriaticus ,Heimiella excentrica,Helicosphaera carteri,Holococcolithophorid 14µm,Holococcolithophorid 8µm,Lohmannosphaera adriatica,Lohmannosphaera paucoscyphos,Michaelsarsia elegans ,Ophiaster hydroideuss ,Other coccolithophores,Pontosphaera huxleyi ,Pontosphaera nigra,Pontosphaera syracusana,Pontosphaera syracusana Lohmann,Rhabdosphaera claviger,Scyphosphaera apstenii,Syrachosphaera pulchra,Syracosphaera brandtii ,Syracosphaera cf. pulchra ,Syracosphaera mediterranea ,Syracosphaera pulchra,Thoracosphaera heimii,Umbellosphaera irregularis ,Umbellosphaera sp,Umbilicosphaera mirabilis,Umbilicosphaera sibogae (Weber-van-Bosse) Gaarder,Unident. Coccolithophorid,coccolith sp.,coccolithoph sexton,coccolithophorid,mixed coccolithophorids
-50.6666666666667,68.4166666666667,100.0,0,3,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,6380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,4,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,6310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,4,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,15000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,5,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,4620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,5,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,6300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,6,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,3520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,6,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,1960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,7,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,8100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,7,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,8,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,16170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,8,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,3110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,9,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,1606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,10,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,3620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,10,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,8960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,11,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,3820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,11,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,7730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,11,1992,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,65580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,12,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,40000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,12,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,1305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,12,1992,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,296000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,1,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,3478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,1,1995,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,15440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,2,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,108720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,2,1995,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,54210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,3,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,30770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,3,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,1120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,4,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,16200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,4,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,3520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,5,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,8107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,5,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,4419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,6,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,5360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,6,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,2880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
