species,CN,CL,CD
Calcidiscus leptoporus,19,6.12,13.66
Calcidiscus leptoporus,18,6.52,12.88
Calcidiscus leptoporus,18,6.53,14.07
Calcidiscus leptoporus,14,6.70,12.08
Calcidiscus leptoporus,24,6.63,13.12
Calcidiscus leptoporus,19,6.47,13.52
Calcidiscus leptoporus,19,5.90,12.54
Calcidiscus leptoporus,15,6.75,11.22
Calcidiscus leptoporus,21,7.52,14.15
Calcidiscus leptoporus,20,5.53,12.96
Calcidiscus leptoporus,20,6.24,14.15
Calcidiscus leptoporus,19,7.29,12.66
Calcidiscus leptoporus,14,6.66,12.14
Calcidiscus leptoporus,17,6.89,12.92
Calcidiscus leptoporus,22,6.16,14.77
Calcidiscus leptoporus,17,6.66,12.16
Calcidiscus leptoporus,15,6.30,11.52
Calcidiscus leptoporus,19,6.39,13.52
Calcidiscus leptoporus,20,6.67,13.03
Calcidiscus leptoporus,16,6.37,12.28
Calcidiscus leptoporus,18,6.50,12.82
Calcidiscus leptoporus,17,5.79,12.23
Calcidiscus leptoporus,22,7.64,12.65
Calcidiscus leptoporus,22,6.94,14.16
Calcidiscus leptoporus,21,7.01,13.83
Calcidiscus leptoporus,18,7.63,11.59
Calcidiscus leptoporus,23,6.77,14.06
Calcidiscus leptoporus,21,7.44,14.25
Calcidiscus leptoporus,26,6.97,15.24
Calcidiscus leptoporus,18,5.88,12.90
Calcidiscus leptoporus,14,6.84,11.55
Calcidiscus leptoporus,20,6.83,12.72
Calcidiscus leptoporus,24,6.82,14.76
Calcidiscus leptoporus,13,6.78,11.07
Calcidiscus leptoporus,18,6.91,11.15
Calcidiscus leptoporus,17,6.30,11.67
Calcidiscus leptoporus,19,6.46,12.22
Calcidiscus leptoporus,16,6.88,12.31
Calcidiscus leptoporus,17,7.78,13.61
Calcidiscus leptoporus,22,6.02,14.19
Calcidiscus leptoporus,16,6.80,10.97
Calcidiscus leptoporus,16,7.36,11.63
Calcidiscus leptoporus,22,7.15,13.00
Calcidiscus leptoporus,21,7.03,14.08
Calcidiscus leptoporus,14,6.65,12.17
Calcidiscus leptoporus,20,6.35,13.70
Calcidiscus leptoporus,19,6.48,12.44
Calcidiscus leptoporus,15,6.90,11.06
Calcidiscus leptoporus,19,7.14,12.13
Calcidiscus leptoporus,16,7.66,13.35
Calcidiscus leptoporus,22,6.84,12.38
Calcidiscus leptoporus,16,7.07,11.39
Calcidiscus leptoporus,19,6.72,13.17
Calcidiscus leptoporus,21,6.33,14.48
Calcidiscus leptoporus,21,7.11,13.34
Calcidiscus leptoporus,18,6.31,12.89
Calcidiscus leptoporus,22,7.13,16.10
Calcidiscus leptoporus,20,6.14,12.48
Calcidiscus leptoporus,27,6.29,14.64
Calcidiscus leptoporus,14,6.78,10.37
Calcidiscus leptoporus,15,6.93,10.48
