Coccosphere condition,Genus,Species,pg pic
Intact,Gephyrocapsa,muellerae,15.9
Intact,Gephyrocapsa,muellerae,10.07
Intact,Gephyrocapsa,muellerae,12.5
Intact,Gephyrocapsa,muellerae,4.52
Intact,Gephyrocapsa,muellerae,6.82
Intact,Gephyrocapsa,muellerae,10.04
Intact,Gephyrocapsa,muellerae,5.51
Intact,Gephyrocapsa,muellerae,8.31
Intact,Gephyrocapsa,muellerae,5.76
Intact,Gephyrocapsa,muellerae,7.36
Intact,Gephyrocapsa,muellerae,6.59
Intact,Gephyrocapsa,muellerae,9.64
Intact,Gephyrocapsa,muellerae,7.43
Intact,Gephyrocapsa,muellerae,11.63
Intact,Gephyrocapsa,muellerae,4.11
Intact,Gephyrocapsa,muellerae,14.4
Intact,Gephyrocapsa,muellerae,13.44
Intact,Gephyrocapsa,muellerae,6.94
Intact,Gephyrocapsa,muellerae,6.59
Intact,Gephyrocapsa,muellerae,4.74
Intact,Gephyrocapsa,muellerae,6.93
Intact,Gephyrocapsa,muellerae,8.32
Intact,Gephyrocapsa,muellerae,8.4
Intact,Gephyrocapsa,muellerae,9.29
Intact,Gephyrocapsa,muellerae,10.12
Intact,Gephyrocapsa,muellerae,7.54
Intact,Gephyrocapsa,muellerae,6.91
Intact,Gephyrocapsa,muellerae,7.17
Intact,Gephyrocapsa,muellerae,3.46
Intact,Gephyrocapsa,muellerae,13.39
Intact,Gephyrocapsa,muellerae,7.15
Intact,Gephyrocapsa,muellerae,4.17
Intact,Gephyrocapsa,muellerae,9.39
Intact,Gephyrocapsa,muellerae,10.91
Intact,Gephyrocapsa,muellerae,9.11
Intact,Gephyrocapsa,muellerae,7.71
Intact,Gephyrocapsa,muellerae,8.79
Intact,Gephyrocapsa,muellerae,6.61
Intact,Syracosphaera,molischii,1.01
Intact,Syracosphaera,molischii,1.99
Intact,Syracosphaera,molischii,0.71
Intact,Syracosphaera,molischii,2.17
Intact,Syracosphaera,molischii,2.98
Intact,Syracosphaera,molischii,4.37
Intact,Syracosphaera,molischii,1.63
"Intact, partial",Syracosphaera,molischii,2.69
Intact,Syracosphaera,molischii,3.17
Intact,Syracosphaera,molischii,4.27
Intact,Syracosphaera,mediterranea HOL wettsteinii type,5.54
"Part of intact coccosphere, other half in image 0432",Syracosphaera,mediterranea HOL wettsteinii type,15.04
Intact,Syracosphaera,mediterranea,35.93
Intact,Calcidiscus,leptoporus,430.68
