species,CN,CL
Calcidiscus quadriperforatus,16,9.52
Calcidiscus quadriperforatus,25,9.12
Calcidiscus quadriperforatus,23,9.87
Calcidiscus quadriperforatus,16,9.41
Calcidiscus quadriperforatus,19,10.98
Calcidiscus quadriperforatus,16,10.34
Calcidiscus quadriperforatus,24,9.24
Calcidiscus quadriperforatus,14,9.72
Calcidiscus quadriperforatus,19,9.07
Calcidiscus quadriperforatus,19,8.96
Calcidiscus quadriperforatus,24,9.69
Calcidiscus quadriperforatus,24,8.62
Calcidiscus quadriperforatus,17,8.58
Calcidiscus quadriperforatus,19,9.64
Calcidiscus quadriperforatus,26,8.30
Calcidiscus quadriperforatus,19,8.43
Calcidiscus quadriperforatus,22,8.71
Calcidiscus quadriperforatus,14,8.52
Calcidiscus quadriperforatus,22,11.67
Calcidiscus quadriperforatus,24,9.82
Calcidiscus quadriperforatus,23,8.06
Calcidiscus quadriperforatus,22,9.47
Calcidiscus quadriperforatus,18,9.97
Calcidiscus quadriperforatus,20,11.31
Calcidiscus quadriperforatus,13,9.36
Calcidiscus quadriperforatus,24,10.24
Calcidiscus quadriperforatus,21,9.28
Calcidiscus quadriperforatus,16,8.19
Calcidiscus quadriperforatus,21,9.64
Calcidiscus quadriperforatus,27,10.17
Calcidiscus quadriperforatus,24,9.00
Calcidiscus quadriperforatus,21,9.64
Calcidiscus quadriperforatus,16,9.90
Calcidiscus quadriperforatus,24,8.33
Calcidiscus quadriperforatus,20,10.83
Calcidiscus quadriperforatus,20,9.91
Calcidiscus quadriperforatus,24,9.61
Calcidiscus quadriperforatus,19,9.18
Calcidiscus quadriperforatus,22,9.38
Calcidiscus quadriperforatus,21,10.15
Calcidiscus quadriperforatus,22,10.45
Calcidiscus quadriperforatus,24,9.83
Calcidiscus quadriperforatus,24,9.28
Calcidiscus quadriperforatus,20,10.20
Calcidiscus quadriperforatus,21,8.96
Calcidiscus quadriperforatus,18,9.84
Calcidiscus quadriperforatus,14,9.47
Calcidiscus quadriperforatus,21,8.77
Calcidiscus quadriperforatus,22,8.97
Calcidiscus quadriperforatus,23,9.09
Calcidiscus quadriperforatus,23,8.56
Calcidiscus quadriperforatus,22,9.11
Calcidiscus quadriperforatus,23,9.31
Calcidiscus quadriperforatus,19,8.62
Calcidiscus quadriperforatus,22,9.75
Calcidiscus quadriperforatus,21,9.43
Calcidiscus quadriperforatus,18,9.44
Calcidiscus quadriperforatus,15,10.13
Calcidiscus quadriperforatus,16,9.35
Calcidiscus quadriperforatus,23,9.22
Calcidiscus quadriperforatus,20,10.33
Calcidiscus quadriperforatus,19,9.65
Calcidiscus quadriperforatus,19,9.53
Calcidiscus quadriperforatus,17,10.09
Calcidiscus quadriperforatus,20,10.01
Calcidiscus quadriperforatus,21,9.14
Calcidiscus quadriperforatus,16,9.92
Calcidiscus quadriperforatus,27,9.36
Calcidiscus quadriperforatus,14,8.64
Calcidiscus quadriperforatus,19,9.59
Calcidiscus quadriperforatus,26,8.62
Calcidiscus quadriperforatus,18,9.08
Calcidiscus quadriperforatus,12,9.80
Calcidiscus quadriperforatus,18,8.66
Calcidiscus quadriperforatus,19,9.17
Calcidiscus quadriperforatus,16,8.68
Calcidiscus quadriperforatus,16,6.02
Calcidiscus quadriperforatus,13,6.86
Calcidiscus quadriperforatus,12,6.17
Calcidiscus quadriperforatus,16,8.34
Calcidiscus quadriperforatus,17,7.16
Calcidiscus quadriperforatus,17,7.38
Calcidiscus quadriperforatus,15,7.88
Calcidiscus quadriperforatus,18,7.09
Calcidiscus quadriperforatus,11,9.28
Calcidiscus quadriperforatus,15,8.43
Calcidiscus quadriperforatus,8,7.92
Calcidiscus quadriperforatus,15,8.12
Calcidiscus quadriperforatus,20,7.12
Calcidiscus quadriperforatus,10,8.74
Calcidiscus quadriperforatus,14,7.72
Calcidiscus quadriperforatus,14,7.38
Calcidiscus quadriperforatus,21,9.30
Calcidiscus quadriperforatus,14,9.16
Calcidiscus quadriperforatus,17,6.76
Calcidiscus quadriperforatus,16,7.64
Calcidiscus quadriperforatus,15,8.22
Calcidiscus quadriperforatus,11,6.90
Calcidiscus quadriperforatus,12,6.94
Calcidiscus quadriperforatus,18,8.88
Calcidiscus quadriperforatus,17,7.98
Calcidiscus quadriperforatus,17,7.24
Calcidiscus quadriperforatus,15,7.00
Calcidiscus quadriperforatus,17,7.85
Calcidiscus quadriperforatus,14,8.96
Calcidiscus quadriperforatus,13,7.34
Calcidiscus quadriperforatus,16,5.67
Calcidiscus quadriperforatus,18,8.48
Calcidiscus quadriperforatus,17,7.10
Calcidiscus quadriperforatus,19,6.96
Calcidiscus quadriperforatus,18,8.44
Calcidiscus quadriperforatus,20,7.96
Calcidiscus quadriperforatus,23,8.22
Calcidiscus quadriperforatus,21,8.38
Calcidiscus quadriperforatus,19,9.04
Calcidiscus quadriperforatus,19,7.78
Calcidiscus quadriperforatus,11,8.04
Calcidiscus quadriperforatus,22,8.66
Calcidiscus quadriperforatus,17,8.48
Calcidiscus quadriperforatus,19,6.99
Calcidiscus quadriperforatus,21,7.14
Calcidiscus quadriperforatus,19,9.06
Calcidiscus quadriperforatus,15,10.12
Calcidiscus quadriperforatus,13,8.74
Calcidiscus quadriperforatus,17,10.36
Calcidiscus quadriperforatus,17,7.78
Calcidiscus quadriperforatus,13,8.22
Calcidiscus quadriperforatus,14,8.64
Calcidiscus quadriperforatus,15,8.42
Calcidiscus quadriperforatus,15,7.70
Calcidiscus quadriperforatus,18,8.62
Calcidiscus quadriperforatus,16,7.58
Calcidiscus quadriperforatus,20,7.80
Calcidiscus quadriperforatus,19,8.33
Calcidiscus quadriperforatus,14,7.36
Calcidiscus quadriperforatus,17,8.96
Calcidiscus quadriperforatus,16,10.83
Calcidiscus quadriperforatus,10,10.40
Calcidiscus quadriperforatus,10,9.76
Calcidiscus quadriperforatus,18,8.69
Calcidiscus quadriperforatus,20,7.12
Calcidiscus quadriperforatus,18,7.60
Calcidiscus quadriperforatus,15,9.93
Calcidiscus quadriperforatus,15,10.55
Calcidiscus quadriperforatus,16,8.54
Calcidiscus quadriperforatus,15,8.36
Calcidiscus quadriperforatus,13,8.72
Calcidiscus quadriperforatus,14,10.64
Calcidiscus quadriperforatus,16,8.43
