species,CN,CL
Coccolithus braarudii,14,10.73
Coccolithus braarudii,16,14.05
Coccolithus braarudii,11,9.93
Coccolithus braarudii,13,11.66
Coccolithus braarudii,8,10.8
Coccolithus braarudii,14,11.6
Coccolithus braarudii,12,11.39
Coccolithus braarudii,10,11.33
Coccolithus braarudii,10,10.38
Coccolithus braarudii,9,14.3
Coccolithus braarudii,9,10.31
Coccolithus braarudii,11,12.91
Coccolithus braarudii,11,11.51
Coccolithus braarudii,12,10.73
Coccolithus braarudii,9,10.21
Coccolithus braarudii,13,11.98
Coccolithus braarudii,16,8.35
Coccolithus braarudii,9,14.36
Coccolithus braarudii,14,10.9
Coccolithus braarudii,18,11.58
Coccolithus braarudii,18,10.9
Coccolithus braarudii,15,13.46
Coccolithus braarudii,17,11.83
Coccolithus braarudii,16,12.53
Coccolithus braarudii,14,15.27
Coccolithus braarudii,15,12.55
Coccolithus braarudii,16,13.03
Coccolithus braarudii,15,14.13
Coccolithus braarudii,18,9.83
Coccolithus braarudii,14,12.59
Coccolithus braarudii,14,11.58
Coccolithus braarudii,16,9.19
Coccolithus braarudii,14,12.42
Coccolithus braarudii,12,11.18
Coccolithus braarudii,16,12.17
Coccolithus braarudii,8,13.12
Coccolithus braarudii,18,10.86
Coccolithus braarudii,9,13.14
Coccolithus braarudii,11,13.71
Coccolithus braarudii,13,10.73
Coccolithus braarudii,12,11.3
Coccolithus braarudii,10,13.48
Coccolithus braarudii,13,11.18
Coccolithus braarudii,7,11.73
Coccolithus braarudii,9,9.76
Coccolithus braarudii,14,9.51
Coccolithus pelagicus,12,8.39
Coccolithus pelagicus,11,6.68
Coccolithus pelagicus,17,6.74
Coccolithus pelagicus,14,8.72
Coccolithus pelagicus,16,8.31
Coccolithus pelagicus,18,7.72
Coccolithus pelagicus,11,7.29
Coccolithus pelagicus,12,7.94
Coccolithus pelagicus,9,8.18
Coccolithus pelagicus,15,9.91
Coccolithus pelagicus,16,8.91
Coccolithus pelagicus,9,9.37
Coccolithus pelagicus,18,9.71
Coccolithus pelagicus,14,7.46
Coccolithus pelagicus,12,8.37
Coccolithus pelagicus,14,6.41
Coccolithus pelagicus,13,8.42
Coccolithus pelagicus,15,7.94
Coccolithus pelagicus,11,8.18
Coccolithus pelagicus,14,7.75
Coccolithus pelagicus,23,7.05
Coccolithus pelagicus,13,6.04
Coccolithus pelagicus,12,7.24
Coccolithus pelagicus,14,8.07
Coccolithus pelagicus,11,7.91
Coccolithus pelagicus,15,7.24
Coccolithus pelagicus,15,8.91
Coccolithus pelagicus,13,7.49
Coccolithus pelagicus,10,6.92
Coccolithus pelagicus,19,9.76
Coccolithus pelagicus,18,7.14
Coccolithus pelagicus,13,6.3
Coccolithus pelagicus,14,5.9
Coccolithus pelagicus,19,9.44
Coccolithus pelagicus,12,8.43
Coccolithus pelagicus,13,6.28
Coccolithus pelagicus,16,8.51
Coccolithus pelagicus,15,10.14
Coccolithus pelagicus,12,9.52
Coccolithus pelagicus,17,8.91
Coccolithus pelagicus,12,8.64
Coccolithus pelagicus,11,7.16
Coccolithus pelagicus,13,8.4
Coccolithus pelagicus,17,8.35
Coccolithus pelagicus,14,5.68
Coccolithus pelagicus,19,7.49
Coccolithus pelagicus,17,8
Coccolithus pelagicus,14,6.39
Coccolithus pelagicus,15,9.1
Coccolithus pelagicus,16,9.39
Coccolithus pelagicus,15,8.29
Coccolithus pelagicus,15,8.07
Coccolithus pelagicus,21,7.6
Coccolithus pelagicus,11,8.27
Coccolithus pelagicus,13,9.8
Coccolithus pelagicus,19,7.11
Coccolithus pelagicus,23,8.67
Coccolithus pelagicus,16,8.26
Coccolithus pelagicus,16,7.46
Coccolithus pelagicus,14,6.63
Coccolithus pelagicus,16,11.56
Coccolithus pelagicus,15,8.56
Coccolithus pelagicus,14,7.45
Coccolithus pelagicus,15,10.09
Coccolithus pelagicus,14,11.59
Coccolithus pelagicus,12,9.64
Coccolithus pelagicus,10,10.23
Coccolithus pelagicus,13,7.89
Coccolithus pelagicus,13,9.63
Coccolithus pelagicus,18,9.6
Coccolithus pelagicus,14,10.15
Coccolithus pelagicus,15,9.6
Coccolithus pelagicus,15,10.44
Coccolithus pelagicus,13,10.07
Coccolithus pelagicus,14,10.95
Coccolithus pelagicus,14,11.41
Coccolithus pelagicus,17,10.03
Coccolithus pelagicus,15,9.82
Coccolithus pelagicus,16,11
Coccolithus pelagicus,14,7.57
Coccolithus pelagicus,18,11.3
Coccolithus pelagicus,16,9.02
Coccolithus pelagicus,16,9.01
Coccolithus pelagicus,9,9.55
Coccolithus pelagicus,13,9.05
Coccolithus pelagicus,12,10.11
Coccolithus pelagicus,14,9.68
Coccolithus pelagicus,17,8.82
Coccolithus pelagicus,15,10.6
Coccolithus pelagicus,13,10.68
Coccolithus pelagicus,13,11.51
Coccolithus pelagicus,16,9.25
Coccolithus pelagicus,12,9.85
Coccolithus pelagicus,14,8.23
Coccolithus pelagicus,14,7.95
Coccolithus pelagicus,15,9.6
Coccolithus pelagicus,13,9.68
Coccolithus pelagicus,11,9.21
Coccolithus pelagicus,14,8.34
Coccolithus pelagicus,18,10.87
Coccolithus pelagicus,13,9.29
Coccolithus pelagicus,13,10.74
Coccolithus pelagicus,17,9.58
Coccolithus pelagicus,20,10.63
Coccolithus pelagicus,16,10.26
Coccolithus pelagicus,14,9.48
Coccolithus pelagicus,13,10.89
Coccolithus pelagicus,15,11.14
Coccolithus pelagicus,15,10.12
Coccolithus pelagicus,12,9.71
Coccolithus pelagicus,11,9.07
Coccolithus pelagicus,12,9.02
Coccolithus pelagicus,12,9.29
Coccolithus pelagicus,16,9.55
Coccolithus pelagicus,12,10.34
Coccolithus pelagicus,18,9.21
Coccolithus pelagicus,11,9.18
Coccolithus pelagicus,13,8.94
Coccolithus pelagicus,11,10.76
Coccolithus pelagicus,12,9.63
Coccolithus pelagicus,15,7.92
Coccolithus pelagicus,13,6.71
Coccolithus pelagicus,16,7.48
Coccolithus pelagicus,14,9.1
Coccolithus pelagicus,11,9.09
Coccolithus pelagicus,12,8.39
Coccolithus pelagicus,10,10.07
Coccolithus pelagicus,12,7.52
Coccolithus pelagicus,11,9.42
Coccolithus pelagicus,14,8.5
Coccolithus pelagicus,12,8.91
Coccolithus pelagicus,9,8.8
Coccolithus pelagicus,12,9.1
Coccolithus pelagicus,15,11.43
Coccolithus pelagicus,16,9.58
Coccolithus pelagicus,17,9.53
Coccolithus pelagicus,11,10.07
Coccolithus pelagicus,15,9.5
Coccolithus pelagicus,11,10.47
Coccolithus pelagicus,15,10.74
Coccolithus pelagicus,13,9.56
Coccolithus pelagicus,18,8.56
Coccolithus pelagicus,12,10.5
Coccolithus pelagicus,18,10.11
Coccolithus pelagicus,15,9.17
Coccolithus pelagicus,12,9.04
Coccolithus pelagicus,11,11.06
Coccolithus pelagicus,14,8.83
Coccolithus pelagicus,13,9.68
Coccolithus pelagicus,17,8.08
Coccolithus pelagicus,15,8.02
Coccolithus pelagicus,12,10.73
Coccolithus pelagicus,9,8.97
Coccolithus pelagicus,16,9.95
Coccolithus pelagicus,15,9.4
Coccolithus pelagicus,12,7.48
Coccolithus pelagicus,15,9.45
Coccolithus pelagicus,13,8.08
Coccolithus pelagicus,11,8.37
Coccolithus pelagicus,12,8.99
Coccolithus pelagicus,20,7.35
Coccolithus pelagicus,11,8.8
Coccolithus pelagicus,16,9.74
Coccolithus pelagicus,17,9.44
Coccolithus pelagicus,15,10.2
Coccolithus pelagicus,13,10.22
Coccolithus pelagicus,17,8.08
Coccolithus pelagicus,15,9.68
Coccolithus pelagicus,17,9.69
Coccolithus pelagicus,11,8.02
Coccolithus pelagicus,8,9.71
Coccolithus pelagicus,15,10.44
Coccolithus pelagicus,15,8.85
Coccolithus pelagicus,16,8.56
Coccolithus pelagicus,10,9.25
Coccolithus pelagicus,11,9.69
Coccolithus pelagicus,14,8.45
Coccolithus pelagicus,14,7.97
Coccolithus pelagicus,10,7.16
Coccolithus pelagicus,7,8.89
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,26.67,3.74
Emiliania huxleyi,24,3.65
Emiliania huxleyi,26.67,3.42
Emiliania huxleyi,21.33,3.5
Emiliania huxleyi,18.67,3.25
