species,CN,CL
Helicosphaera carteri,15,8.83
Helicosphaera carteri,14,9.99
Helicosphaera carteri,13,8.20
Helicosphaera carteri,12,8.42
Helicosphaera carteri,23,8.07
Helicosphaera carteri,12,9.47
Helicosphaera carteri,22,9.35
Helicosphaera carteri,21,9.15
Helicosphaera carteri,16,7.79
Helicosphaera carteri,13,8.46
Helicosphaera carteri,16,9.19
Helicosphaera carteri,14,8.55
Helicosphaera carteri,13,10.75
Helicosphaera carteri,21,8.69
Helicosphaera carteri,12,8.97
Helicosphaera carteri,13,9.19
Helicosphaera carteri,12,8.93
Helicosphaera carteri,17,8.77
Helicosphaera carteri,18,8.56
Helicosphaera carteri,13,8.17
Helicosphaera carteri,13,9.75
Helicosphaera carteri,19,8.63
Helicosphaera carteri,13,8.59
Helicosphaera carteri,17,9.24
Helicosphaera carteri,20,7.71
Helicosphaera carteri,19,7.64
Helicosphaera carteri,16,8.23
Helicosphaera carteri,14,8.11
Helicosphaera carteri,10,8.25
Helicosphaera carteri,11,8.72
Helicosphaera carteri,13,9.39
Helicosphaera carteri,15,8.53
Helicosphaera carteri,12,8.46
Helicosphaera carteri,20,9.11
Helicosphaera carteri,14,8.56
Helicosphaera carteri,13,9.70
Helicosphaera carteri,11,7.91
Helicosphaera carteri,16,8.49
Helicosphaera carteri,12,9.42
Helicosphaera carteri,14,8.47
Helicosphaera carteri,11,8.17
Helicosphaera carteri,16,8.94
Helicosphaera carteri,16,8.81
Helicosphaera carteri,18,9.61
Helicosphaera carteri,14,9.43
Helicosphaera carteri,10,8.04
Helicosphaera carteri,13,8.26
Helicosphaera carteri,12,9.48
Helicosphaera carteri,12,8.68
Helicosphaera carteri,13,7.61
Helicosphaera carteri,11,9.15
Helicosphaera carteri,25,9.67
Helicosphaera carteri,10,10.11
Helicosphaera carteri,14,9.15
Helicosphaera carteri,9,8.60
Helicosphaera carteri,17,8.13
Helicosphaera carteri,17,8.87
Helicosphaera carteri,12,9.01
Helicosphaera carteri,18,7.85
Helicosphaera carteri,15,8.63
Helicosphaera carteri,15,8.30
Helicosphaera carteri,19,8.50
Helicosphaera carteri,15,9.29
Helicosphaera carteri,19,8.88
Helicosphaera carteri,15,7.58
Helicosphaera carteri,24,8.61
Helicosphaera carteri,14,8.52
Helicosphaera carteri,15,8.17
Helicosphaera carteri,16,9.18
Helicosphaera carteri,18,9.45
Helicosphaera carteri,20,8.70
Helicosphaera carteri,15,8.56
Helicosphaera carteri,14,9.72
Helicosphaera carteri,15,8.60
Helicosphaera carteri,11,9.32
Helicosphaera carteri,14,8.67
Helicosphaera carteri,19,8.94
Helicosphaera carteri,15,8.56
Helicosphaera carteri,19,8.20
Helicosphaera carteri,21,9.26
Helicosphaera carteri,19,8.76
Helicosphaera carteri,13,8.90
Helicosphaera carteri,11,8.47
Helicosphaera carteri,19,8.21
Helicosphaera carteri,13,9.13
Helicosphaera carteri,12,8.32
Helicosphaera carteri,19,7.98
Helicosphaera carteri,14,8.67
Helicosphaera carteri,17,9.01
Helicosphaera carteri,17,9.04
Helicosphaera carteri,16,8.89
Helicosphaera carteri,18,8.65
Helicosphaera carteri,15,9.51
Helicosphaera carteri,17,8.99
Helicosphaera carteri,20,8.86
Helicosphaera carteri,14,8.63
Helicosphaera carteri,17,8.54
