species,volume,pg pic,phase
Emiliania huxleyi,14.52,0.16,HET
Emiliania huxleyi,371.49,5.35,HET
Emiliania huxleyi,128.45,3.22,HET
Emiliania huxleyi,36.43,0.58,HET
Emiliania huxleyi,42.33,1.01,HET
Emiliania huxleyi,56.83,1.2,HET
Emiliania huxleyi,61.53,1.38,HET
Emiliania huxleyi,61.71,1.16,HET
Emiliania huxleyi,63.62,1.97,HET
Emiliania huxleyi,94.04,1.85,HET
Emiliania huxleyi,130.24,2.32,HET
Emiliania huxleyi,201.47,5.24,HET
Emiliania huxleyi,79.96,3.53,HET
Emiliania huxleyi,101.87,3.08,HET
Emiliania huxleyi,146.82,9.6,HET
Emiliania huxleyi,36.75,2.04,HET
Emiliania huxleyi,152.45,5.85,HET
Emiliania huxleyi,174.57,4.07,HET
Emiliania huxleyi,82.03,4.09,HET
Emiliania huxleyi,70.7,3.74,HET
Emiliania huxleyi,150.14,6.6,HET
Emiliania huxleyi,322.89,8.82,HET
Emiliania huxleyi,342.42,12.95,HET
Emiliania huxleyi,291.59,18.99,HET
Emiliania huxleyi,382.38,11.84,HET
Emiliania huxleyi,221.11,10.73,HET
Emiliania huxleyi,355.71,15.57,HET
Emiliania huxleyi,109.6,3.35,HET
Emiliania huxleyi,175.25,7.87,HET
Emiliania huxleyi,84.04,2.03,HET
Emiliania huxleyi,417.16,15.5,HET
Emiliania huxleyi,466.33,15.19,HET
Emiliania huxleyi,580.91,23.39,HET
Emiliania huxleyi,257.99,7.35,HET
Emiliania huxleyi,79.46,4.55,HET
Emiliania huxleyi,75.02,3.82,HET
Emiliania huxleyi,215.89,15.54,HET
Emiliania huxleyi,74.26,2.8,HET
Emiliania huxleyi,317.03,6.87,HET
Emiliania huxleyi,639.62,14.37,HET
Emiliania huxleyi,205.11,7.87,HET
Emiliania huxleyi,568.25,23.35,HET
Emiliania huxleyi,445.33,18.11,HET
Emiliania huxleyi,323.5,10.08,HET
Emiliania huxleyi,365.22,9.15,HET
Emiliania huxleyi,190.27,9.77,HET
Emiliania huxleyi,113.08,8.29,HET
Emiliania huxleyi,256.1,7.02,HET
Emiliania huxleyi,412.75,22.22,HET
Emiliania huxleyi,481.92,14.81,HET
Emiliania huxleyi,188.3,9.83,HET
Emiliania huxleyi,290.74,11.44,HET
Emiliania huxleyi,96.56,3.28,HET
Emiliania huxleyi,380.38,17.01,HET
Emiliania huxleyi,494.03,14.41,HET
Emiliania huxleyi,108.96,5.24,HET
Emiliania huxleyi,234.56,13.95,HET
Emiliania huxleyi,206.38,11.66,HET
Emiliania huxleyi,523.35,14.8,HET
Emiliania huxleyi,86.64,4.76,HET
