species,diameter (um) [median],diameter (um) [95 CI lower],diameter (um) [95 CI upper],POC (pg poc) [median],POC (pg poc) [95 CI lower],POC (pg poc) [95 CI upper],PIC (pg pic) [median],PIC (pg pic) [95 CI lower],PIC (pg pic) [95 CI upper],PIC:POC (pg pic: pg poc) [median],PIC:POC (pg pic: pg poc) [95 CI lower],PIC:POC (pg pic: pg poc) [95 CI upper]
Ophiaster formosus HET,4.58,4.56,4.6,9.87,9.72,10.0,2.75,2.72,2.78,0.278,0.275,0.284
Ophiaster hydroideus HET,4.44,4.42,4.46,9.78,9.65,9.9,2.65,2.62,2.67,0.271,0.266,0.275
Palusphaera vandelii HET,10.1,10.1,10.1,94.7,93.4,96.0,27.7,27.3,28.1,0.292,0.288,0.297
Pappomonas sp. type 3 HET,9.31,9.27,9.35,81.0,79.9,82.0,20.6,20.4,20.9,0.254,0.25,0.259
Pappomonas sp. type 5 HET,4.55,4.53,4.58,9.87,9.73,10.0,2.83,2.8,2.87,0.287,0.281,0.292
Papposphaera lepida HET,5.78,5.75,5.81,19.0,18.8,19.3,5.07,5.0,5.14,0.266,0.262,0.272
Picarola margalefii HET,4.17,4.16,4.2,5.67,5.6,5.76,2.35,2.33,2.38,0.415,0.406,0.421
Pontosphaera syracusana HET,17.7,17.6,17.8,610.0,602.0,618.0,143.0,141.0,145.0,0.234,0.229,0.238
Poritectolithus maximus HOL,9.53,9.49,9.57,84.8,83.6,85.9,20.9,20.6,21.3,0.246,0.242,0.252
Rhabdosphaera clavigera HET,6.3,6.27,6.32,26.3,26.0,26.6,21.0,20.7,21.4,0.798,0.782,0.813
Rhabdosphaera xiphos HET,8.42,8.38,8.45,67.4,66.6,68.3,14.9,14.7,15.1,0.221,0.218,0.226
Scyphosphaera apsteinii HET,18.8,18.8,18.9,688.0,683.0,693.0,184.0,182.0,185.0,0.267,0.265,0.27
Sphaerocalyptra adenensis HOL,5.13,5.1,5.15,15.3,15.1,15.5,0.901,0.851,0.95,0.0588,0.055,0.0617
Sphaerocalyptra quadridentata HOL,1.98,1.97,1.99,0.734,0.724,0.744,,,,,,
Sphaerocalyptra sp. 1 HOL,6.4,6.37,6.43,17.8,17.5,18.0,4.05,3.95,4.15,0.227,0.221,0.233
Syracolithus sp. type A HOL,6.12,6.09,6.15,17.7,17.4,17.9,2.93,2.85,3.01,0.166,0.16,0.17
