Reference,Date,Latitude,Longitude,Depth,Emiliania huxleyi,Gephyrocapsa ericsonii,Florisphaera profunda,Umbellosphaera irregularis,Umbellosphaera tenuis
Cortes2001,15/01/96,22.345,-158.3,50,ND,ND,ND,ND,ND
Cortes2001,15/01/96,22.345,-158.3,75,ND,ND,ND,ND,ND
Cortes2001,15/01/96,22.345,-158.3,100,ND,ND,ND,ND,ND
Cortes2001,15/01/96,22.345,-158.3,150,ND,ND,ND,ND,ND
Cortes2001,15/01/96,22.345,-158.3,200,ND,ND,ND,ND,ND
Cortes2001,25/03/96,22.345,-158.3,5,2181,459,0,765,459
Cortes2001,25/03/96,22.345,-158.3,10,2076,431,0,744,548
Cortes2001,25/03/96,22.345,-158.3,25,1718,840,0,993,420
Cortes2001,25/03/96,22.345,-158.3,50,2029,507,0,1444,585
Cortes2001,25/03/96,22.345,-158.3,75,1642,344,0,611,725
Cortes2001,25/03/96,22.345,-158.3,100,4141,2643,118,,39
Cortes2001,25/03/96,22.345,-158.3,150,458,76,5383,115,38
Cortes2001,25/03/96,22.345,-158.3,200,236,0,749,,39
Cortes2001,22/04/96,22.345,-158.3,5,889,212,0,1863,1016
Cortes2001,22/04/96,22.345,-158.3,10,944,270,0,2203,1394
Cortes2001,22/04/96,22.345,-158.3,25,864,123,0,1646,987
Cortes2001,22/04/96,22.345,-158.3,50,1410,0,0,2631,1738
Cortes2001,22/04/96,22.345,-158.3,75,2767,541,0,6076,4632
Cortes2001,22/04/96,22.345,-158.3,100,2248,1716,0,2781,3964
Cortes2001,22/04/96,22.345,-158.3,150,1947,1546,2119,57,0
Cortes2001,22/04/96,22.345,-158.3,200,158,39,552,0,0
Cortes2001,20/05/96,22.345,-158.3,5,153,0,0,880,268
Cortes2001,20/05/96,22.345,-158.3,10,470,39,0,1880,274
Cortes2001,20/05/96,22.345,-158.3,25,344,76,0,2749,649
Cortes2001,20/05/96,22.345,-158.3,50,878,585,0,6615,4332
Cortes2001,20/05/96,22.345,-158.3,75,1203,744,0,7502,7159
Cortes2001,20/05/96,22.345,-158.3,100,5916,2366,177,59,355
Cortes2001,20/05/96,22.345,-158.3,150,744,115,11339,57,
Cortes2001,20/05/96,22.345,-158.3,200,3368,709,1300,0,59
Cortes2001,24/06/96,22.345,-158.3,5,383,0,0,1952,230
Cortes2001,24/06/96,22.345,-158.3,10,157,0,0,117,39
Cortes2001,24/06/96,22.345,-158.3,25,0,0,0,0,0
Cortes2001,24/06/96,22.345,-158.3,50,312,39,0,1015,585
Cortes2001,24/06/96,22.345,-158.3,75,0,0,0,0,0
Cortes2001,24/06/96,22.345,-158.3,100,887,947,0,828,2248
Cortes2001,24/06/96,22.345,-158.3,150,382,1031,5651,153,382
Cortes2001,24/06/96,22.345,-158.3,200,236,0,906,,79
Cortes2001,25/07/96,22.345,-158.3,5,304,0,0,2218,130
Cortes2001,25/07/96,22.345,-158.3,10,178,0,0,3872,89
Cortes2001,25/07/96,22.345,-158.3,25,130,0,0,3688,260
Cortes2001,25/07/96,22.345,-158.3,50,1020,0,0,3770,2838
Cortes2001,25/07/96,22.345,-158.3,75,868,0,0,5423,4382
Cortes2001,25/07/96,22.345,-158.3,100,493,0,0,1165,717
Cortes2001,25/07/96,22.345,-158.3,150,330,0,15044,47,0
Cortes2001,25/07/96,22.345,-158.3,200,224,0,5148,0,0
Cortes2001,18/08/95,22.345,-158.3,5,0,0,0,9784,1131
Cortes2001,18/08/95,22.345,-158.3,10,0,0,0,0,0
Cortes2001,18/08/95,22.345,-158.3,25,174,0,0,8373,1475
Cortes2001,18/08/95,22.345,-158.3,50,177,0,0,12462,4701
Cortes2001,18/08/95,22.345,-158.3,75,694,2690,1866,10933,4859
Cortes2001,18/08/95,22.345,-158.3,100,1849,5599,,4913,2588
Cortes2001,18/08/95,22.345,-158.3,150,217,0,14881,130,0
Cortes2001,18/08/95,22.345,-158.3,200,134,0,1119,90,0
