Latitude,Longitude,Depth,sampling date,sampling month,Month,Year,Reference,Acanthoica acanthifera,Acanthoica quattrospina,Algirosphaera robusta,Alisphaera unicornis,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus leptoporus HOL,Calciopappus caudatus,Calciosolenia bimurata,Calciosolenia brasiliensis,Calyptrolithina divergens,Calyptrosphaera heimdaliae,Calyptrosphaera spp.,Ceratolithus cristatus,Ceratolithus nishidae CER,Coccolithus pelagicus,Coccolithus spp.,Coronosphaera mediterranea HOL,Cyclolihus sp.,Cyclolithus sp.,Cyrtosphaera aculeata,Discosphaera tubifera,Emiliania huxleyi var. corona,Emiliania sp.A,Florisphaera profunda,Gephyrocapsa crassipons,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa ornata,Gladiolithus flabellatus,Helicosphaera HOL catilliferus type,Helicosphaera carteri,Helicosphaera carteri HOL,Helicosphaera pavimentum,Helicosphaera pavimentum HOL,Helladosphaera cornifera,Helladosphaera fastigata,Homozygosphaera spp.,Homozygosphaera triarcha,Michaelsarsia adriaticus,Michaelsarsia elegans,Ohiaster hydroideus,Oolithotus antillarum,Oolithotus fragilis,Ophiaster spp.,P. vandelii + R. xiphos,Palusphaera vandelii,Poricalyptra magnaghii,Reticulofenestra parvula,Rhabdosphaera clavigera,Syracolithus catilliferus,Syracosphaera anthos,Syracosphaera anthos HOL,Syracosphaera arethusae HOL,Syracosphaera aurisinae,Syracosphaera corolla,Syracosphaera exigua,Syracosphaera gaarderae,Syracosphaera histrica,Syracosphaera histrica HOL,Syracosphaera lamina,Syracosphaera mediterranea,Syracosphaera molischii,Syracosphaera nana,Syracosphaera nodosa,Syracosphaera orbiculus,Syracosphaera pulchra,Syracosphaera pulchra HOL,Syracosphaera sp.,Syracosphaera spp.,Syracosphaera strigilis HOL,Tetralithoides quadrilaminata,Umbellosphaera irregularis,Umbellosphaera spp.,Umbellosphaera tenuis,Umbilicosphaera angustiforamen,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera sibogae
35.5,141.2,0,7,11,11,1968,Okada1973,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10710,0,0,990,5400,0,0,0,90,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0
37.2,141.16,0,6,11,11,1968,Okada1973,0,0,575,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,11845,0,0,1035,5635,0,0,0,115,0,0,0,0,0,0,0,460,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,115,0,0,460,345,345,0,0,115,0,0,0,0,0,0,0,0,0,575,575,0
38.54,141.54,0,6,11,11,1968,Okada1973,0,0,10.0502512563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0502512563,0,0,0,0,0,1296.4824120603,0,0,110.5527638191,130.6532663317,0,0,10.0502512563,0,0,0,0,0,0,0,0,10.0502512563,0,0,0,0,0,0,0,0,0,30.1507537688,0,0,0,0,0,30.1507537688,0,0,90.4522613065,0,0,20.1005025126,190.9547738693,40.2010050251,0,0,10.0502512563,0,0,0,0,0,0,0,0,0,10.0502512563,0,0
-0.1,141.59,0,30,12,12,1968,Okada1973,0,0,0,75,0,0,0,1125,0,3750,0,0,0,0,0,0,0,75,0,0,0,0,0,375,0,0,8850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,75,0,150,0,0,0,75,0,0,0,225,0,0
-0.1,141.59,20,30,12,12,1968,Okada1973,77.3195876289,0,0,154.6391752577,0,0,0,1005.1546391753,0,1469.0721649485,0,0,0,0,0,0,0,154.6391752577,0,0,0,0,0,231.9587628866,0,0,10128.8659793814,0,0,0,0,77.3195876289,0,0,0,0,0,0,0,309.2783505155,0,0,309.2783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.6391752577,0,77.3195876289,154.6391752577,154.6391752577,0,0,0,77.3195876289,0,0,0,463.9175257732,0,0
-0.1,141.59,30,30,12,12,1968,Okada1973,275,0,0,55,0,0,0,825,0,1375,0,0,0,0,0,0,0,220,0,0,0,110,0,220,0,0,7205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,110,0,220,0,0,0,220,0,0,0,0,0,0
-0.1,141.59,50,30,12,12,1968,Okada1973,80,0,0,160,0,0,0,2080,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11680,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,400,0,0
-0.1,141.59,75,30,12,12,1968,Okada1973,60,0,60,0,0,0,0,600,0,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,8160,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,60,0,0,0,0,0,0,300,0,0,0,0,0,0,0,840,0,0
-0.1,141.59,100,30,12,12,1968,Okada1973,198.9949748744,0,0,0,0,0,0,149.2462311558,0,1044.7236180905,0,0,0,0,0,0,0,0,0,0,0,0,0,198.9949748744,0,0,7512.0603015075,0,0,0,0,0,0,0,0,0,0,0,0,99.4974874372,0,0,99.4974874372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.743718593,0,0,0,0,0,0,0,348.2412060302,0,0
2.42,141.48,0,3,1,1,1969,Okada1973,20.1058201058,0,20.1058201058,0,0,0,0,0,0,20.1058201058,0,0,0,0,0,0,0,40.2116402116,0,0,0,40.2116402116,0,60.3174603175,0,0,120.6349206349,221.164021164,0,0,0,0,0,0,0,0,0,0,0,80.4232804233,0,0,944.9735449735,0,0,0,0,0,0,0,0,0,0,0,0,60.3174603175,0,0,0,0,0,120.6349206349,0,0,0,0,0,0,100.5291005291,0,0,0,1548.1481481482,0,0,0,382.0105820106,20.1058201058,0
