species,value,variable
Helladosphaera pienaarii,10.593510057522897,diameter
Helladosphaera pienaarii,10.572397221827625,diameter
Helladosphaera pienaarii,10.495169154408659,diameter
Helladosphaera pienaarii,10.565311697468056,diameter
Helladosphaera pienaarii,10.511607204810014,diameter
Helladosphaera pienaarii,10.556853325318427,diameter
Helladosphaera pienaarii,10.60391283298311,diameter
Helladosphaera pienaarii,10.613536284645916,diameter
Helladosphaera pienaarii,10.565238198430325,diameter
Helladosphaera pienaarii,10.510128088379561,diameter
Helladosphaera pienaarii,10.551262776257623,diameter
Helladosphaera pienaarii,10.58080582811273,diameter
Helladosphaera pienaarii,10.622796366752828,diameter
Helladosphaera pienaarii,10.548732082577173,diameter
Helladosphaera pienaarii,10.541703862929856,diameter
Helladosphaera pienaarii,10.541418220704621,diameter
Helladosphaera pienaarii,10.548894141668738,diameter
Helladosphaera pienaarii,10.587392483320556,diameter
Helladosphaera pienaarii,10.531855679734376,diameter
Helladosphaera pienaarii,10.557973682185152,diameter
Helladosphaera pienaarii,10.605984285863924,diameter
Helladosphaera pienaarii,10.473282537686398,diameter
Helladosphaera pienaarii,10.560958306366173,diameter
Helladosphaera pienaarii,10.544912562039194,diameter
Helladosphaera pienaarii,10.586869120182458,diameter
Helladosphaera pienaarii,10.617892816512274,diameter
Helladosphaera pienaarii,10.493325177562184,diameter
Helladosphaera pienaarii,10.504103971753157,diameter
Helladosphaera pienaarii,10.574853004509999,diameter
Helladosphaera pienaarii,10.627564994260279,diameter
Helladosphaera pienaarii,10.603926582867812,diameter
Helladosphaera pienaarii,10.60416346073215,diameter
Helladosphaera pienaarii,10.542015584806377,diameter
Helladosphaera pienaarii,10.56953468312425,diameter
Helladosphaera pienaarii,10.595598844759806,diameter
Helladosphaera pienaarii,10.586856679586548,diameter
Helladosphaera pienaarii,10.555121924237534,diameter
Helladosphaera pienaarii,10.537677142326938,diameter
Helladosphaera pienaarii,10.612879579237713,diameter
Helladosphaera pienaarii,10.559331530995436,diameter
Helladosphaera pienaarii,10.590543214081462,diameter
Helladosphaera pienaarii,10.502322517574518,diameter
Helladosphaera pienaarii,10.522392857494724,diameter
Helladosphaera pienaarii,10.548541293542423,diameter
Helladosphaera pienaarii,10.560871242559037,diameter
Helladosphaera pienaarii,10.542672218977735,diameter
Helladosphaera pienaarii,10.497018878610387,diameter
Helladosphaera pienaarii,10.598567551561061,diameter
Helladosphaera pienaarii,10.503919934077514,diameter
Helladosphaera pienaarii,10.6248302121757,diameter
Helladosphaera pienaarii,10.560305829614608,diameter
Helladosphaera pienaarii,10.627413841930695,diameter
Helladosphaera pienaarii,10.527600387244156,diameter
Helladosphaera pienaarii,10.54629922281018,diameter
Helladosphaera pienaarii,10.564975844472562,diameter
Helladosphaera pienaarii,10.610607301626256,diameter
Helladosphaera pienaarii,10.488235780790703,diameter
Helladosphaera pienaarii,10.580432658002792,diameter
Helladosphaera pienaarii,10.57550331905114,diameter
Helladosphaera pienaarii,10.583272831344843,diameter
Helladosphaera pienaarii,10.521823028867436,diameter
Helladosphaera pienaarii,10.615237323938654,diameter
Helladosphaera pienaarii,10.590473284634312,diameter
Helladosphaera pienaarii,10.514030874050977,diameter
Helladosphaera pienaarii,10.531191552769187,diameter
Helladosphaera pienaarii,10.571100401396304,diameter
Helladosphaera pienaarii,10.550949326947613,diameter
Helladosphaera pienaarii,10.540673602312197,diameter
Helladosphaera pienaarii,10.5605912622011,diameter
Helladosphaera pienaarii,10.5358975752962,diameter
Helladosphaera pienaarii,10.560949373607533,diameter
Helladosphaera pienaarii,10.544313273544146,diameter
Helladosphaera pienaarii,10.526194821754517,diameter
Helladosphaera pienaarii,10.55992341417865,diameter
Helladosphaera pienaarii,10.54995623733805,diameter
Helladosphaera pienaarii,10.559726194948597,diameter
Helladosphaera pienaarii,10.514770518120152,diameter
Helladosphaera pienaarii,10.510415322471353,diameter
Helladosphaera pienaarii,10.603666787513843,diameter
Helladosphaera pienaarii,10.578247188685769,diameter
Helladosphaera pienaarii,10.565292935762132,diameter
Helladosphaera pienaarii,10.55772928489455,diameter
Helladosphaera pienaarii,10.596755632907076,diameter
Helladosphaera pienaarii,10.56626614038709,diameter
Helladosphaera pienaarii,10.523434301473623,diameter
Helladosphaera pienaarii,10.572862611941293,diameter
Helladosphaera pienaarii,10.588653467213124,diameter
Helladosphaera pienaarii,10.564124962078937,diameter
Helladosphaera pienaarii,10.577962977611948,diameter
Helladosphaera pienaarii,10.61966748718143,diameter
Helladosphaera pienaarii,10.568985623671786,diameter
Helladosphaera pienaarii,10.597595998124342,diameter
Helladosphaera pienaarii,10.62364295863488,diameter
Helladosphaera pienaarii,10.616003384518201,diameter
Helladosphaera pienaarii,10.524563744889576,diameter
Helladosphaera pienaarii,10.591566144319154,diameter
Helladosphaera pienaarii,10.546348349326962,diameter
Helladosphaera pienaarii,10.548178455453003,diameter
Helladosphaera pienaarii,10.573850017006531,diameter
Helladosphaera pienaarii,10.599661478626851,diameter
Helladosphaera pienaarii,10.569060725944745,diameter
Helladosphaera pienaarii,10.592773876175409,diameter
Helladosphaera pienaarii,10.57768532692417,diameter
Helladosphaera pienaarii,10.599769806965746,diameter
Helladosphaera pienaarii,10.515789825772405,diameter
Helladosphaera pienaarii,10.607618419881273,diameter
Helladosphaera pienaarii,10.516466693754637,diameter
Helladosphaera pienaarii,10.510824030826443,diameter
Helladosphaera pienaarii,10.598328702172712,diameter
Helladosphaera pienaarii,10.496730195246569,diameter
Helladosphaera pienaarii,10.505686291493825,diameter
Helladosphaera pienaarii,10.544948642196593,diameter
Helladosphaera pienaarii,10.567926121272507,diameter
Helladosphaera pienaarii,10.611239890022597,diameter
Helladosphaera pienaarii,10.56220982362848,diameter
Helladosphaera pienaarii,10.514430433668648,diameter
Helladosphaera pienaarii,10.582678281791326,diameter
Helladosphaera pienaarii,10.545438196357557,diameter
Helladosphaera pienaarii,10.497328903942552,diameter
Helladosphaera pienaarii,10.530959855883253,diameter
Helladosphaera pienaarii,10.464900556567057,diameter
Helladosphaera pienaarii,10.629533653849979,diameter
Helladosphaera pienaarii,10.53429484729187,diameter
Helladosphaera pienaarii,10.567313184600216,diameter
Helladosphaera pienaarii,10.579499318890289,diameter
Helladosphaera pienaarii,10.493998709652562,diameter
Helladosphaera pienaarii,10.571227947389062,diameter
Helladosphaera pienaarii,10.573986808543706,diameter
Helladosphaera pienaarii,10.569956561294488,diameter
Helladosphaera pienaarii,10.550526278730258,diameter
Helladosphaera pienaarii,10.490405691286842,diameter
Helladosphaera pienaarii,10.583297274733585,diameter
Helladosphaera pienaarii,10.466357296572028,diameter
Helladosphaera pienaarii,10.54817851172736,diameter
Helladosphaera pienaarii,10.575944647099675,diameter
Helladosphaera pienaarii,10.597508929461043,diameter
Helladosphaera pienaarii,10.556698486415227,diameter
Helladosphaera pienaarii,10.490124172145666,diameter
Helladosphaera pienaarii,10.518993555718788,diameter
Helladosphaera pienaarii,10.51292926233515,diameter
Helladosphaera pienaarii,10.574644002907718,diameter
Helladosphaera pienaarii,10.55989231136013,diameter
Helladosphaera pienaarii,10.477241295951679,diameter
Helladosphaera pienaarii,10.528973860009659,diameter
Helladosphaera pienaarii,10.54647165218791,diameter
Helladosphaera pienaarii,10.601280403387708,diameter
Helladosphaera pienaarii,10.565673466086603,diameter
Helladosphaera pienaarii,10.531977666522446,diameter
Helladosphaera pienaarii,10.517782754863621,diameter
Helladosphaera pienaarii,10.508901714074737,diameter
Helladosphaera pienaarii,10.592296716378694,diameter
Helladosphaera pienaarii,10.569051649120098,diameter
Helladosphaera pienaarii,10.570008236541225,diameter
Helladosphaera pienaarii,10.559806694251998,diameter
Helladosphaera pienaarii,10.575616692776414,diameter
Helladosphaera pienaarii,10.58168855266539,diameter
Helladosphaera pienaarii,10.567337946386125,diameter
Helladosphaera pienaarii,10.610130121830549,diameter
Helladosphaera pienaarii,10.572945263330395,diameter
Helladosphaera pienaarii,10.526468012932684,diameter
Helladosphaera pienaarii,10.604930281404036,diameter
Helladosphaera pienaarii,10.547372670265785,diameter
Helladosphaera pienaarii,10.550412843227576,diameter
Helladosphaera pienaarii,10.643265182882638,diameter
Helladosphaera pienaarii,10.568621944338824,diameter
Helladosphaera pienaarii,10.551658382165657,diameter
Helladosphaera pienaarii,10.521953402152082,diameter
Helladosphaera pienaarii,10.502604267086651,diameter
Helladosphaera pienaarii,10.52552344078973,diameter
Helladosphaera pienaarii,10.562149407356372,diameter
Helladosphaera pienaarii,10.559512728098483,diameter
Helladosphaera pienaarii,10.546091986097805,diameter
Helladosphaera pienaarii,10.56394973138036,diameter
Helladosphaera pienaarii,10.558088837515465,diameter
Helladosphaera pienaarii,10.538121307558864,diameter
Helladosphaera pienaarii,10.624156700061402,diameter
Helladosphaera pienaarii,10.533373526612873,diameter
Helladosphaera pienaarii,10.603132947762992,diameter
Helladosphaera pienaarii,10.563735418090257,diameter
Helladosphaera pienaarii,10.544009118055822,diameter
Helladosphaera pienaarii,10.535134722391971,diameter
Helladosphaera pienaarii,10.569508482794596,diameter
Helladosphaera pienaarii,10.557775309138211,diameter
Helladosphaera pienaarii,10.56027071771909,diameter
