Genus,Species,Volume,PIC pg C,PIC pmol C,Phase
Umbellosphaera,tenuis,149.42,5.06,0.42,HET
Umbellosphaera,tenuis,98.12,7.74,0.65,HET
Umbellosphaera,irregularis,729.9,9.53,0.79,HET
Umbellosphaera,tenuis,254.06,7.19,0.6,HET
Umbellosphaera,tenuis,349.03,11.26,0.94,HET
Umbellosphaera,irregularis,1645.3,11.92,0.99,HET
Umbellosphaera,tenuis,518.89,7.5,0.62,HET
Umbellosphaera,tenuis,279.21,7.13,0.59,HET
Umbellosphaera,tenuis,321.67,8.27,0.69,HET
Umbellosphaera,tenuis,581.68,8.93,0.74,HET
Umbellosphaera,tenuis,422.47,15.21,1.27,HET
Umbellosphaera,tenuis,406.62,8.13,0.68,HET
Umbellosphaera,irregularis,486.55,13.34,1.11,HET
Umbellosphaera,tenuis,313.15,8.52,0.71,HET
Umbellosphaera,irregularis,359.38,15.17,1.26,HET
Umbellosphaera,irregularis,1134.52,13.45,1.12,HET
Umbellosphaera,tenuis,339.88,10.13,0.84,HET
Umbellosphaera,irregularis,1161.46,12.37,1.03,HET
Umbellosphaera,tenuis,259.01,12.84,1.07,HET
Umbellosphaera,irregularis,591.04,14.78,1.23,HET
Umbellosphaera,tenuis,473.61,6.31,0.53,HET
Umbellosphaera,tenuis,458.23,10.86,0.91,HET
Umbellosphaera,tenuis,217.1,21.87,1.82,HET
Umbellosphaera,irregularis,1511.1,22.78,1.9,HET
Umbellosphaera,irregularis,623.14,19.77,1.65,HET
Umbellosphaera,irregularis,1028.54,16.94,1.41,HET
Umbellosphaera,tenuis,267.59,5.63,0.47,HET
Umbellosphaera,tenuis,241.23,6.35,0.53,HET
Umbellosphaera,irregularis,1229.04,33.37,2.78,HET
Umbellosphaera,irregularis,1587.49,40.65,3.39,HET
Umbilicosphaera,sibogae,1597.68,97.35,8.11,HET
Umbilicosphaera,sibogae,3514.55,249.45,20.79,HET
Umbilicosphaera,hulburtiana,328.52,27.11,2.26,HET
Umbilicosphaera,hulburtiana,389.76,65.3,5.44,HET
Umbilicosphaera,hulburtiana,422.52,32.54,2.71,HET
Umbilicosphaera,hulburtiana,526.72,56.58,4.72,HET
Umbilicosphaera,hulburtiana,377.93,21.52,1.79,HET
Umbilicosphaera,hulburtiana,325.38,17.27,1.44,HET
Umbilicosphaera,hulburtiana,399.74,30.44,2.54,HET
Umbilicosphaera,hulburtiana,537.26,51.95,4.33,HET
Umbilicosphaera,hulburtiana,502.9,60.48,5.04,HET
Umbilicosphaera,hulburtiana,446.37,47.09,3.92,HET
Umbilicosphaera,hulburtiana,374.76,46.29,3.86,HET
Umbilicosphaera,hulburtiana,381.04,37.08,3.09,HET
Umbilicosphaera,hulburtiana,484.93,40.03,3.34,HET
Umbilicosphaera,hulburtiana,277.98,26.09,2.17,HET
Umbilicosphaera,hulburtiana,666.39,43.64,3.64,HET
Umbilicosphaera,hulburtiana,403.4,36.34,3.03,HET
Umbilicosphaera,hulburtiana,582.88,50.76,4.23,HET
Umbilicosphaera,hulburtiana,387.3,33,2.75,HET
Umbilicosphaera,hulburtiana,331.06,39.09,3.26,HET
Umbilicosphaera,hulburtiana,393.53,25.28,2.11,HET
Umbilicosphaera,hulburtiana,852.32,49.32,4.11,HET
Umbilicosphaera,hulburtiana,506.66,49.52,4.13,HET
Umbilicosphaera,hulburtiana,453.16,22.76,1.9,HET
Umbilicosphaera,hulburtiana,448.17,45.95,3.83,HET
Umbilicosphaera,hulburtiana,481.98,45.57,3.8,HET
Umbilicosphaera,hulburtiana,872.01,77.12,6.43,HET
Umbilicosphaera,hulburtiana,626.7,51.09,4.26,HET
Umbilicosphaera,hulburtiana,509.03,59.27,4.94,HET
Umbilicosphaera,hulburtiana,296.81,27.05,2.25,HET
Umbilicosphaera,hulburtiana,256.87,21.43,1.79,HET
Umbilicosphaera,hulburtiana,314.27,22.34,1.86,HET
Umbilicosphaera,hulburtiana,547.48,46.61,3.88,HET
Umbilicosphaera,hulburtiana,858.69,44.71,3.73,HET
Umbilicosphaera,hulburtiana,772.29,50.72,4.23,HET
Umbilicosphaera,hulburtiana,419.26,37.81,3.15,HET
Umbilicosphaera,hulburtiana,490.7,23.5,1.96,HET
Umbilicosphaera,hulburtiana,296.28,16.41,1.37,HET
Umbilicosphaera,hulburtiana,439.21,44.98,3.75,HET
Umbilicosphaera,hulburtiana,564.35,31.79,2.65,HET
Umbilicosphaera,hulburtiana,355.97,32.45,2.7,HET
Umbilicosphaera,hulburtiana,338.1,42.47,3.54,HET
Umbilicosphaera,hulburtiana,458.57,39.36,3.28,HET
Umbilicosphaera,hulburtiana,439.49,25.95,2.16,HET
Umbilicosphaera,hulburtiana,319.79,22.38,1.87,HET
Umbilicosphaera,hulburtiana,378.88,30.12,2.51,HET
Umbilicosphaera,hulburtiana,473.3,27.87,2.32,HET
Umbilicosphaera,hulburtiana,265.13,16.17,1.35,HET
Umbilicosphaera,hulburtiana,442.7,34.24,2.85,HET
Umbilicosphaera,hulburtiana,308.69,21.08,1.76,HET
Umbilicosphaera,sibogae,10095.28,252.44,21.04,HET
Unknown,unknown,112.42,1.73,0.14,HET
Unknown,sp.,54.29,0.27,0.02,HET
Unknown,unknown,60.8,0.63,0.05,HET
