Genus,Species,Volume,PIC pg C,PIC pmol C,Phase
Emiliania,huxleyi,50.87,1.56,0.13,HET
Emiliania,huxleyi,111.02,2.19,0.18,HET
Emiliania,huxleyi,60.85,0.95,0.08,HET
Emiliania,huxleyi,125.7,2.42,0.2,HET
Emiliania,huxleyi,51.77,1.28,0.11,HET
Emiliania,huxleyi,69.09,0.9,0.07,HET
Emiliania,huxleyi,50.27,1.27,0.11,HET
Emiliania,huxleyi,63.08,1.65,0.14,HET
Emiliania,huxleyi,97.84,1.71,0.14,HET
Emiliania,huxleyi,63.62,1,0.08,HET
Emiliania,huxleyi,166.75,1.76,0.15,HET
Emiliania,huxleyi,58.09,0.79,0.07,HET
Emiliania,huxleyi,60.85,0.9,0.07,HET
Emiliania,huxleyi,31.2,1.21,0.1,HET
Emiliania,huxleyi,53.22,0.75,0.06,HET
Emiliania,huxleyi,50.04,0.99,0.08,HET
Emiliania,huxleyi,46.99,1.42,0.12,HET
Emiliania,huxleyi,47.17,1.09,0.09,HET
Emiliania,huxleyi,55.37,0.64,0.05,HET
Emiliania,huxleyi,66.48,1.11,0.09,HET
Emiliania,huxleyi,74.9,1.49,0.12,HET
Emiliania,huxleyi,52.95,1.7,0.14,HET
Emiliania,huxleyi,80.95,1.08,0.09,HET
Emiliania,huxleyi,106.17,1.69,0.14,HET
Emiliania,huxleyi,63.74,2.18,0.18,HET
Emiliania,huxleyi,80.04,2.08,0.17,HET
Emiliania,huxleyi,47.74,1.01,0.08,HET
Emiliania,huxleyi,56.68,1.24,0.1,HET
Emiliania,huxleyi,75.25,3.57,0.3,HET
Emiliania,huxleyi,52.68,0.79,0.07,HET
Emiliania,huxleyi,14.52,0.16,0.01,HET
Emiliania,huxleyi,371.49,5.35,0.45,HET
Emiliania,huxleyi,128.45,3.22,0.27,HET
Emiliania,huxleyi,36.43,0.58,0.05,HET
Emiliania,huxleyi,42.33,1.01,0.08,HET
Emiliania,huxleyi,56.83,1.2,0.1,HET
Emiliania,huxleyi,61.53,1.38,0.11,HET
Emiliania,huxleyi,61.71,1.16,0.1,HET
Emiliania,huxleyi,63.62,1.97,0.16,HET
Emiliania,huxleyi,94.04,1.85,0.15,HET
Emiliania,huxleyi,130.24,2.32,0.19,HET
Emiliania,huxleyi,201.47,5.24,0.44,HET
Emiliania,huxleyi,79.96,3.53,0.29,HET
Emiliania,huxleyi,101.87,3.08,0.26,HET
Emiliania,huxleyi,146.82,9.6,0.8,HET
Emiliania,huxleyi var. corona,36.75,2.04,0.17,HET
Emiliania,huxleyi,152.45,5.85,0.49,HET
Emiliania,huxleyi,174.57,4.07,0.34,HET
Emiliania,huxleyi,82.03,4.09,0.34,HET
Emiliania,huxleyi,70.7,3.74,0.31,HET
Emiliania,huxleyi,150.14,6.6,0.55,HET
Emiliania,huxleyi,322.89,8.82,0.73,HET
Emiliania,huxleyi,342.42,12.95,1.08,HET
Emiliania,huxleyi,291.59,18.99,1.58,HET
Emiliania,huxleyi,382.38,11.84,0.99,HET
Emiliania,huxleyi,221.11,10.73,0.89,HET
Emiliania,huxleyi,355.71,15.57,1.3,HET
Emiliania,huxleyi,109.6,3.35,0.28,HET
Emiliania,huxleyi,175.25,7.87,0.66,HET
Emiliania,huxleyi,84.04,2.03,0.17,HET
Emiliania,huxleyi,417.16,15.5,1.29,HET
Emiliania,huxleyi,466.33,15.19,1.27,HET
Emiliania,huxleyi,580.91,23.39,1.95,HET
Emiliania,huxleyi,257.99,7.35,0.61,HET
Emiliania,huxleyi,79.46,4.55,0.38,HET
Emiliania,huxleyi,75.02,3.82,0.32,HET
Emiliania,huxleyi,215.89,15.54,1.29,HET
Emiliania,huxleyi,74.26,2.8,0.23,HET
Emiliania,huxleyi,317.03,6.87,0.57,HET
Emiliania,huxleyi,639.62,14.37,1.2,HET
Emiliania,huxleyi,205.11,7.87,0.66,HET
Emiliania,huxleyi,568.25,23.35,1.95,HET
Emiliania,huxleyi,445.33,18.11,1.51,HET
Emiliania,huxleyi,323.5,10.08,0.84,HET
Emiliania,huxleyi,365.22,9.15,0.76,HET
Emiliania,huxleyi,190.27,9.77,0.81,HET
Emiliania,huxleyi,113.08,8.29,0.69,HET
Emiliania,huxleyi,256.1,7.02,0.59,HET
Emiliania,huxleyi,412.75,22.22,1.85,HET
Emiliania,huxleyi,481.92,14.81,1.23,HET
Emiliania,huxleyi,188.3,9.83,0.82,HET
Emiliania,huxleyi,290.74,11.44,0.95,HET
Emiliania,huxleyi,96.56,3.28,0.27,HET
Emiliania,huxleyi,380.38,17.01,1.42,HET
Emiliania,huxleyi,494.03,14.41,1.2,HET
Emiliania,huxleyi,108.96,5.24,0.44,HET
Emiliania,huxleyi,234.56,13.95,1.16,HET
Emiliania,huxleyi,206.38,11.66,0.97,HET
Emiliania,huxleyi,523.35,14.8,1.23,HET
Emiliania,huxleyi,86.64,4.76,0.4,HET
Emiliania,huxleyi,129.43,5.5,0.46,HET
Emiliania,huxleyi,329.19,9.26,0.77,HET
Emiliania,huxleyi,123.52,6.21,0.52,HET
Emiliania,huxleyi,336.59,17.53,1.46,HET
Emiliania,huxleyi,329.68,18.11,1.51,HET
Emiliania,huxleyi,221.39,8.1,0.67,HET
Emiliania,huxleyi,43.97,2.32,0.19,HET
Emiliania,huxleyi,180.93,10.24,0.85,HET
Emiliania,huxleyi,50.91,1.13,0.09,HET
Emiliania,huxleyi,294.09,8.41,0.7,HET
Emiliania,huxleyi,85.78,2.88,0.24,HET
Emiliania,huxleyi,237.08,10.65,0.89,HET
Emiliania,huxleyi,825.88,31.42,2.62,HET
Emiliania,huxleyi,170.64,9.04,0.75,HET
Emiliania,huxleyi,78.45,2.91,0.24,HET
Emiliania,huxleyi,145.18,8.96,0.75,HET
Emiliania,huxleyi,128.46,7.75,0.65,HET
Emiliania,huxleyi,96.2,6.88,0.57,HET
Emiliania,huxleyi,145.26,7.25,0.6,HET
Emiliania,huxleyi,51.34,0.7,0.06,HET
Emiliania,huxleyi,97,4.08,0.34,HET
Emiliania,huxleyi,88.55,2.81,0.23,HET
Emiliania,huxleyi,90.87,6.02,0.5,HET
Emiliania,huxleyi,64.95,2.45,0.2,HET
Emiliania,huxleyi,92.15,11,0.92,HET
Emiliania,huxleyi,108.18,3.64,0.3,HET
Emiliania,huxleyi,143.02,4.65,0.39,HET
Emiliania,huxleyi,128.42,6.19,0.52,HET
Emiliania,huxleyi,248.47,10.87,0.91,HET
Emiliania,huxleyi,121.67,4.54,0.38,HET
Emiliania,huxleyi,260.97,7.64,0.64,HET
Emiliania,huxleyi,416.4,19.84,1.65,HET
Emiliania,huxleyi,101.42,2.19,0.18,HET
Emiliania,huxleyi,77.45,2.02,0.17,HET
Emiliania,huxleyi,466.77,6.27,0.52,HET
Emiliania,huxleyi,110.66,4.18,0.35,HET
Emiliania,huxleyi,143.76,3.02,0.25,HET
Emiliania,huxleyi,242.91,10.14,0.85,HET
Emiliania,huxleyi,46.92,1.55,0.13,HET
Emiliania,huxleyi,139.74,4.76,0.4,HET
Emiliania,huxleyi,138.69,3.37,0.28,HET
Emiliania,huxleyi,87.4,2.48,0.21,HET
Emiliania,huxleyi,101.42,2.83,0.24,HET
Emiliania,huxleyi,85.18,5.08,0.42,HET
Emiliania,huxleyi,137.19,4.93,0.41,HET
Emiliania,huxleyi,254.74,7.75,0.65,HET
Emiliania,huxleyi,257.18,3.83,0.32,HET
Emiliania,huxleyi,460.5,14.29,1.19,HET
Emiliania,huxleyi,124.85,6.38,0.53,HET
Emiliania,huxleyi,479.5,15.83,1.32,HET
Emiliania,huxleyi,67.07,1.32,0.11,HET
Emiliania,huxleyi,530,19.35,1.61,HET
Emiliania,huxleyi,500.76,10.2,0.85,HET
Emiliania,huxleyi,81.4,2.84,0.24,HET
Emiliania,huxleyi,118.45,5.84,0.49,HET
Emiliania,huxleyi,86.4,2.91,0.24,HET
Emiliania,huxleyi,117.17,3.88,0.32,HET
Emiliania,huxleyi,101.51,5.95,0.5,HET
Emiliania,huxleyi,288.5,19.45,1.62,HET
Emiliania,huxleyi,268.35,10.62,0.89,HET
Emiliania,huxleyi,134.59,6.95,0.58,HET
Emiliania,huxleyi,261.01,5.63,0.47,HET
Emiliania,huxleyi,109.13,4.4,0.37,HET
Emiliania,huxleyi,32.2,0.81,0.07,HET
Emiliania,huxleyi,130.69,6.65,0.55,HET
Emiliania,huxleyi,277.77,8.49,0.71,HET
Emiliania,huxleyi,266.11,12.58,1.05,HET
Emiliania,huxleyi,356.82,12.86,1.07,HET
Emiliania,huxleyi,156.87,4.56,0.38,HET
Emiliania,huxleyi,157.76,5.02,0.42,HET
Emiliania,huxleyi,236.53,5.74,0.48,HET
Emiliania,huxleyi,162.13,13.68,1.14,HET
Emiliania,huxleyi,96.26,3.44,0.29,HET
Emiliania,huxleyi,220.1,10.07,0.84,HET
Emiliania,huxleyi,88.65,4.88,0.41,HET
Emiliania,huxleyi,183.71,4.62,0.39,HET
Emiliania,huxleyi,60.06,3.2,0.27,HET
Emiliania,huxleyi,294.42,11.46,0.95,HET
Emiliania,huxleyi,143.93,5.23,0.44,HET
Emiliania,huxleyi,293.18,7.22,0.6,HET
Emiliania,huxleyi,185.88,5.66,0.47,HET
Emiliania,huxleyi,163.39,17.86,1.49,HET
Emiliania,huxleyi,129.79,3.6,0.3,HET
Emiliania,huxleyi,276.2,10.72,0.89,HET
Emiliania,huxleyi,151.14,3.73,0.31,HET
Emiliania,huxleyi,133.14,4.54,0.38,HET
Emiliania,huxleyi,218.86,8.12,0.68,HET
Emiliania,huxleyi,185.08,7.95,0.66,HET
Emiliania,huxleyi,151.62,8.68,0.72,HET
Emiliania,huxleyi,249.26,7.6,0.63,HET
Emiliania,huxleyi,132.87,3.65,0.3,HET
Emiliania,huxleyi,54.76,2.35,0.2,HET
Emiliania,huxleyi,263.68,14.81,1.23,HET
Emiliania,huxleyi,183,4.32,0.36,HET
Emiliania,huxleyi,96.03,2.61,0.22,HET
Emiliania,huxleyi,242.29,4.71,0.39,HET
Emiliania,huxleyi,210.31,7.12,0.59,HET
Emiliania,huxleyi,148.62,3.38,0.28,HET
