count,species
9,Pileolosphaera longistirpes
2,Placorhombus ziveriae
3,Pontosphaera discopora
6,Pontosphaera japonica
2,Pontosphaera japonica HOL
1,Pontosphaera multipora
43,Pontosphaera syracusana
11,Poritectolithus maximus
7,Poritectolithus poritectum
1,Pseudowigwamma scenozonion
56,Reticulofenestra sessilis
978,Rhabdosphaera clavigera
275,Rhabdosphaera xiphos
1,Rhabdosphaera xiphos COMB
80,Scyphosphaera apsteinii
17,Scyphosphaera apsteinii HOL
2,Solisphaera emidasia
3,Solisphaera galbula
1,Solisphaera helianthiformis
3,Solisphaera turbinella
25,Sphaerocalyptra adenensis
2,Sphaerocalyptra dermitzakii
70,Sphaerocalyptra quadridentata
6,Sphaerocalyptra youngii
3,Syracolithus bicorium
9,Syracolithus type A
46,Syracosphaera ampliora
8,Syracosphaera andruleitii
282,Syracosphaera anthos
125,Syracosphaera anthos HOL
36,Syracosphaera anthos type
52,Syracosphaera arethusae
2,Syracosphaera arethusae COMB
151,Syracosphaera arethusae HOL
26,Syracosphaera aurisinae
78,Syracosphaera aurisinae HOL
1,Syracosphaera azureaplaneta
61,Syracosphaera bannockii
1,Syracosphaera bannockii COMB
118,Syracosphaera bannockii HOL
34,Syracosphaera borealis
12,Syracosphaera castellata
196,Syracosphaera corolla
91,Syracosphaera dilatata
56,Syracosphaera epigrosa
39,Syracosphaera exigua
5,Syracosphaera florida
43,Syracosphaera gaarderae
28,Syracosphaera gaarderae HOL
169,Syracosphaera halldalli
92,Syracosphaera hastata
290,Syracosphaera histrica
174,Syracosphaera histrica HOL
54,Syracosphaera isselii HOL
17,Syracosphaera lafourcadii HOL
16,Syracosphaera leptolepsis
60,Syracosphaera magnaghii HOL
117,Syracosphaera marginiporata
7,Syracosphaera marginiporata HOL
1,Syracosphaera maxima
390,Syracosphaera mediterranea
39,Syracosphaera mediterranea HOL gracillima type
11,Syracosphaera mediterranea HOL hellenica type
31,Syracosphaera mediterranea HOL marisrubri type
91,Syracosphaera mediterranea HOL wettsteinii type
585,Syracosphaera molischii
129,Syracosphaera molischii HOL
23,Syracosphaera nana HOL
130,Syracosphaera neapolitana
241,Syracosphaera nodosa
44,Syracosphaera noroitica
79,Syracosphaera orbiculus
3,Syracosphaera orbiculus HOL
341,Syracosphaera ossa
75,Syracosphaera periperforata HOL
236,Syracosphaera prolongata
5,Syracosphaera prolongata type
108,Syracosphaera protrudens
931,Syracosphaera pulchra
1,Syracosphaera pulchra COMB
475,Syracosphaera pulchra HOL
33,Syracosphaera reniformis
2,Syracosphaera rhombica
1,Syracosphaera rotaconica HOL
102,Syracosphaera rotula
11,Syracosphaera rotula type
2,Syracosphaera serrata
33,Syracosphaera squamosa
16,Syracosphaera strigilis
2,Syracosphaera strigilis COMB
83,Syracosphaera strigilis HOL
49,Syracosphaera tumularis
17,Tetralithoides quadrilaminata
23,Turrilithus latericioides
1016,Umbellosphaera irregularis
941,Umbellosphaera tenuis
98,Umbilicosphaera anulus
97,Umbilicosphaera foliosa
301,Umbilicosphaera hulburtiana
583,Umbilicosphaera sibogae
4,Vexillarius cancellifer
1,Vexillarius iaculifer
34,Wigwamma antarctica
1,Wigwamma triradiata
87,Zygosphaera amoena
36,Zygosphaera marsilii
