species	phase	alternate_phase	reference	ref
Ceratolithus cristatus CER	CER	Ceratolithus cristatus HET		Alcober  et al.,  1997
Ceratolithus cristatus CER	CER	Ceratolithus cristatus HET		Young  et al., 1998
Ceratolithus cristatus CER	CER	Ceratolithus cristatus HET		Cros  et al., 2000
Ceratolithus cristatus CER	CER	Ceratolithus cristatus HET		Sprengel  et al., 2000
Ceratolithus cristatus HET	HET	Ceratolithus cristatus CER		Archontikis et al., 2020
Ceratolithus cristatus HET	HET	Ceratolithus cristatus CER		Alcober  et al.,  1997
Ceratolithus cristatus HET	HET	Ceratolithus cristatus CER		Young  et al., 1998
Ceratolithus cristatus HET	HET	Ceratolithus cristatus CER		Cros  et al., 2000
Ceratolithus cristatus HET	HET	Ceratolithus cristatus CER		Sprengel  et al., 2000
Coccolithus pelagicus	HET	Coccolithus pelagicus HOL		Geissen et al., 2002
Coccolithus pelagicus	HET	Coccolithus pelagicus HOL		Parke et al., 1960
Coccolithus pelagicus HOL	HOL	Coccolithus pelagicus		Geissen et al., 2002
Coccolithus pelagicus HOL	HOL	Coccolithus pelagicus		Parke et al., 1960
Corisphaera gracilis	HOL	Rhabdosphaera xiphos		Supraha et al., 2018
Corisphaera gracilis	HOL	Rhabdosphaera xiphos		NannoTax3
Corisphaera tyrrheniensis	HOL			
Cyrtosphaera aculeata	HET			
Discosphaera tubifera	HET			
Emiliania huxleyi	HET			
Florisphaera profunda	HET			
Flosculosphaera calceolariopsis	HOL			
Formonsella pyramidosa	HET			
Gephyrocapsa ericsonii	HET			
Gephyrocapsa muellerae	HET			
Gephyrocapsa oceanica	HET			
Gephyrocapsa ornata	HET			
Gephyrocapsa parvula	HET			
Gladiolithus flabellatus	HET			
Gliscolithus amitakareniae	HOL			
Hayaster perplexus	HET			
Helicosphaera HOL catilliferus type	HOL	Helicosphaera carteri		Cros et al., 2000
Helicosphaera HOL catilliferus type	HOL	Helicosphaera carteri		Cros et al., 2002
Helicosphaera HOL confusus type	HOL			
Helicosphaera HOL ponticuliferus type	HOL	Helicosphaera wallichii		Couapel et al., 2009
Helicosphaera carteri	HET			
Helicosphaera hyalina	HET			
Helicosphaera pavimentum	HET			
Helicosphaera pavimentum HOL	HOL	Helicosphaera pavimentum		
Helicosphaera wallichii	HET			
Helladosphaera cornifera	HOL	Syracosphaera nodosa		Cros et al., 2000
Helladosphaera cornifera	HOL	Syracosphaera noroitica		Young et al., 2002
Helladosphaera pienaarii	HOL			
Helladosphaera vavilovii	HOL			
Holococcolithophora dentata	HOL			
Homozygosphaera spinosa	HOL			
Homozygosphaera triarcha	HOL			
Michaelsarsia adriaticus	HET			
Michaelsarsia elegans	HET			
Oolithotus antillarum	HET			
Oolithotus fragilis	HET			
Ophiaster formosus	HET			
Ophiaster hydroideus	HET			
Palusphaera vandelii	HET			
Pappomonas sp. type 3	HET			
Pappomonas sp. type 5	HET			
Pappomonas type 3	HET			
Pappomonas type 5	HET			
Papposphaera lepida	HET			
Picarola margalefii	HET			
Pontosphaera syracusana	HET			
Poritectolithus maximus	HOL			
Poritectolithus poritectus	HOL			
Reticulofenestra sessilis	HET			
Rhabdosphaera clavigera	HET			
Rhabdosphaera xiphos	HET			
Scyphosphaera apsteinii	HET			
Sphaerocalyptra adenensis	HOL			
Sphaerocalyptra quadridentata	HOL	Algirosphaera robusta		Kamptner et al., 1940
Sphaerocalyptra quadridentata	HOL	Algirosphaera robusta		Triantaphyllou et al., 2003
Sphaerocalyptra quadridentata	HOL	Algirosphaera robusta		Dimiza et al., 2008
Sphaerocalyptra quadridentata	HOL	Rhabdosphaera clavigera		Cros et al., 2002
Sphaerocalyptra youngii	HOL			
Syracolithus sp. type A	HOL			
Syracosphaera ampliora	HET			
Syracosphaera anthos	HET	Syracosphaera anthos HOL		Cros et al., 2000
Syracosphaera anthos HOL	HOL	Syracosphaera anthos		Cros et al., 2000
Syracosphaera arethusae	HET	Syracosphaera arethusae HOL		Cros et al., 2000
Syracosphaera arethusae	HET	Syracosphaera arethusae HOL		Triantaphyllou et al., 2015
Syracosphaera arethusae	HET	Syracosphaera arethusae HOL		Supraha et al., 2016
Syracosphaera arethusae HOL	HOL	Syracosphaera arethusae		Cros et al., 2000
Syracosphaera arethusae HOL	HOL	Syracosphaera arethusae		Triantaphyllou et al., 2015
Syracosphaera arethusae HOL	HOL	Syracosphaera arethusae		Supraha et al., 2016
Syracosphaera aurisinae	HET	Syracosphaera aurisinae HOL		Keuter et al., 2021
Syracosphaera aurisinae HOL	HOL	Syracosphaera aurisinae		Keuter et al., 2021
Syracosphaera bannockii	HET	Syracosphaera bannockii HOL		Cros et al., 2000
Syracosphaera bannockii	HET	Syracosphaera bannockii HOL		Daniels et al., 2014
Syracosphaera bannockii HOL	HOL	Syracosphaera bannockii		Cros et al., 2000
Syracosphaera bannockii HOL	HOL	Syracosphaera bannockii		Daniels et al., 2014
Syracosphaera borealis	HET			
Syracosphaera corolla	HET			
Syracosphaera dilatata	HET			
Syracosphaera epigrosa	HET			
Syracosphaera exigua	HET			
Syracosphaera gaarderae	HET	Syracosphaera gaarderae HOL		Keuter et al., 2019
Syracosphaera gaarderae HOL	HOL	Syracosphaera gaarderae		Keuter et al., 2019
Syracosphaera halldalli	HET			
Syracosphaera hastata	HET			
Syracosphaera histrica	HET	Syracosphaera histrica HOL		Cros et al., 2000
Syracosphaera histrica	HET	Syracosphaera histrica HOL		Triantaphyllou et al., 2014
Syracosphaera histrica	HET	Syracosphaera histrica HOL		Triantaphyllou et al., 2015
Syracosphaera histrica HOL	HOL	Syracosphaera histrica		Cros et al., 2000
Syracosphaera histrica HOL	HOL	Syracosphaera histrica		Triantaphyllou et al., 2014
Syracosphaera histrica HOL	HOL	Syracosphaera histrica		Triantaphyllou et al., 2015
Syracosphaera isselii HOL	HOL			
Syracosphaera magnaghii HOL	HOL			
Syracosphaera marginiporata	HET			
Syracosphaera mediterranea	HET	Syracosphaera mediterranea HOL gracillima type		Cortes et al., 2002
Syracosphaera mediterranea	HET	Syracosphaera mediterranea HOL gracillima type		Triantaphyllou et al., 2015
Syracosphaera mediterranea	HET	Syracosphaera mediterranea HOL marisrubri type		Keuter et al., 2021
Syracosphaera mediterranea	HET	Syracosphaera mediterranea HOL wettsteinii type		Kamptner et al., 1940
Syracosphaera mediterranea	HET	Syracosphaera mediterranea HOL wettsteinii type		Cros et al., 2000
Syracosphaera mediterranea HOL gracillima type	HOL	Syracosphaera mediterranea		Cortes et al., 2002
Syracosphaera mediterranea HOL gracillima type	HOL	Syracosphaera mediterranea		Triantaphyllou et al., 2015
Syracosphaera mediterranea HOL marisrubri type	HOL	Syracosphaera mediterranea		Keuter et al., 2021
Syracosphaera mediterranea HOL wettsteinii type	HOL	Syracosphaera mediterranea		Kamptner et al., 1940
Syracosphaera mediterranea HOL wettsteinii type	HOL	Syracosphaera mediterranea		Cros et al., 2000
Syracosphaera molischii	HET	Syracosphaera molischii HOL		Cros et al., 2000
